,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Subtotal,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
168,548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,399,19.95,588.357,2/20/2019,15:24,Credit card,399,4.761904762,19.95,5.9
169,505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,340.56,17.028,587.664,2/25/2019,14:12,Ewallet,340.56,4.761904762,17.028,5.6
170,234-65-2137,C,NAYPYITAW,Normal,Male,Home and lifestyle,95.58,10,955.8,47.79,586.971,1/16/2019,13:32,Cash,955.8,4.761904762,47.79,4.8
171,687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,989.8,49.49,586.635,02/08/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7
172,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,307.68,15.384,580.419,1/19/2019,16:31,Cash,307.68,4.761904762,15.384,6.5
173,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,486.64,24.332,579.8415,02/01/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5
174,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,350.05,17.5025,575.9775,01/03/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5
175,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,400.25,20.0125,575.736,1/26/2019,12:45,Credit card,400.25,4.761904762,20.0125,9.4
176,733-33-4967,C,NAYPYITAW,Normal,Male,Electronic accessories,20.85,8,166.8,8.34,575.316,03/03/2019,19:17,Cash,166.8,4.761904762,8.34,6.3
177,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,317.34,15.867,572.775,1/19/2019,17:34,Credit card,317.34,4.761904762,15.867,9.8
178,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,158.32,7.916,571.41,1/18/2019,12:04,Ewallet,158.32,4.761904762,7.916,8.7
179,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,304.56,15.228,570.78,3/21/2019,16:21,Ewallet,304.56,4.761904762,15.228,8.8
180,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,177.36,8.868,568.512,03/03/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6
181,139-52-2867,C,NAYPYITAW,Normal,Female,Fashion accessories,22.51,7,157.57,7.8785,565.215,2/13/2019,10:50,Credit card,157.57,4.761904762,7.8785,4.8
182,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,443.28,22.164,561.078,3/23/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4
183,342-65-4817,C,NAYPYITAW,Member,Male,Health and beauty,86.8,3,260.4,13.02,557.718,1/28/2019,16:47,Ewallet,260.4,4.761904762,13.02,9.9
184,130-98-8941,C,NAYPYITAW,Normal,Male,Fashion accessories,64.26,7,449.82,22.491,554.295,02/09/2019,10:00,Cash,449.82,4.761904762,22.491,5.7
185,434-83-9547,C,NAYPYITAW,Member,Male,Food and beverages,38.47,8,307.76,15.388,554.148,1/23/2019,11:51,Cash,307.76,4.761904762,15.388,7.7
186,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,155,7.75,551.124,3/23/2019,10:55,Ewallet,155,4.761904762,7.75,8
187,824-88-3614,C,NAYPYITAW,Normal,Male,Health and beauty,34.31,8,274.48,13.724,550.935,1/25/2019,15:00,Ewallet,274.48,4.761904762,13.724,5.7
188,586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,86.38,4.319,550.368,03/04/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7
189,895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,54.24,2.712,548.9715,03/05/2019,19:46,Ewallet,54.24,4.761904762,2.712,8
190,305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,755.92,37.796,548.7615,03/03/2019,19:00,Ewallet,755.92,4.761904762,37.796,7.5
191,732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,185.88,9.294,548.73,02/08/2019,10:53,Cash,185.88,4.761904762,9.294,7
192,400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,74.07,3.7035,548.184,02/10/2019,12:50,Ewallet,74.07,4.761904762,3.7035,9.9
193,593-65-1552,C,NAYPYITAW,Normal,Female,Home and lifestyle,69.81,4,279.24,13.962,548.163,1/28/2019,20:50,Credit card,279.24,4.761904762,13.962,5.9
194,284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,231.12,11.556,545.37,02/11/2019,10:39,Credit card,231.12,4.761904762,11.556,7.2
195,437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,147.04,7.352,545.055,1/15/2019,13:41,Ewallet,147.04,4.761904762,7.352,4.6
196,286-43-6208,C,NAYPYITAW,Normal,Female,Food and beverages,87.8,9,790.2,39.51,543.753,3/16/2019,19:08,Cash,790.2,4.761904762,39.51,9.2
197,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,102.2,5.11,539.343,1/26/2019,20:23,Ewallet,102.2,4.761904762,5.11,5.7
198,831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,163.55,8.1775,536.991,3/19/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9
199,556-86-3144,C,NAYPYITAW,Member,Female,Fashion accessories,74.29,1,74.29,3.7145,536.844,1/13/2019,19:30,Cash,74.29,4.761904762,3.7145,5
200,848-24-9445,C,NAYPYITAW,Member,Male,Health and beauty,43.7,2,87.4,4.37,536.592,3/26/2019,18:03,Cash,87.4,4.761904762,4.37,4.9
201,856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,25.29,1.2645,535.7205,3/23/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1
202,699-01-4164,C,NAYPYITAW,Normal,Male,Health and beauty,41.5,4,166,8.3,535.374,03/12/2019,19:58,Credit card,166,4.761904762,8.3,8.2
203,420-11-4919,C,NAYPYITAW,Member,Female,Food and beverages,71.39,5,356.95,17.8475,532.728,2/17/2019,19:57,Credit card,356.95,4.761904762,17.8475,5.5
204,606-80-4905,C,NAYPYITAW,Member,Female,Sports and travel,19.15,6,114.9,5.745,530.67,1/29/2019,10:01,Credit card,114.9,4.761904762,5.745,6.8
205,542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,229.96,11.498,529.515,3/15/2019,11:57,Cash,229.96,4.761904762,11.498,6.6
206,426-39-2418,C,NAYPYITAW,Normal,Male,Electronic accessories,61.41,7,429.87,21.4935,527.751,1/14/2019,10:02,Cash,429.87,4.761904762,21.4935,9.8
207,875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,259,12.95,527.5095,02/06/2019,14:51,Ewallet,259,4.761904762,12.95,8.7
208,394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,88.85,4.4425,525.231,2/15/2019,12:42,Credit card,88.85,4.761904762,4.4425,5.4
209,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,207.27,10.3635,523.971,01/03/2019,12:02,Ewallet,207.27,4.761904762,10.3635,7.9
210,672-51-8681,C,NAYPYITAW,Member,Female,Electronic accessories,66.65,9,599.85,29.9925,523.845,01/04/2019,18:19,Credit card,599.85,4.761904762,29.9925,9.7
211,263-87-5680,C,NAYPYITAW,Member,Female,Home and lifestyle,28.53,10,285.3,14.265,523.3725,3/18/2019,17:38,Ewallet,285.3,4.761904762,14.265,7.8
212,573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,91.11,4.5555,521.01,3/28/2019,13:41,Ewallet,91.11,4.761904762,4.5555,5.1
213,817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,897.57,44.8785,520.8,03/02/2019,19:42,Credit card,897.57,4.761904762,44.8785,6.5
214,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,236.07,11.8035,520.4115,1/25/2019,20:24,Ewallet,236.07,4.761904762,11.8035,5.9
215,677-11-0152,C,NAYPYITAW,Normal,Female,Food and beverages,93.26,9,839.34,41.967,517.965,1/16/2019,18:08,Cash,839.34,4.761904762,41.967,8.8
216,142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,461.8,23.09,514.773,3/20/2019,19:17,Ewallet,461.8,4.761904762,23.09,4.9
217,656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,139.26,6.963,514.605,01/04/2019,13:24,Credit card,139.26,4.761904762,6.963,4.4
218,891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,207.27,10.3635,513.2295,03/11/2019,15:53,Cash,207.27,4.761904762,10.3635,6.5
219,802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,18.28,0.914,512.19,3/22/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3
220,560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,123.85,6.1925,510.972,3/24/2019,18:27,Cash,123.85,4.761904762,6.1925,8.5
221,319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,283.92,14.196,510.9615,2/21/2019,16:55,Cash,283.92,4.761904762,14.196,5.5
222,549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,758.96,37.948,510.615,02/12/2019,12:58,Ewallet,758.96,4.761904762,37.948,8.7
223,790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,172.02,8.601,509.4075,03/10/2019,18:59,Credit card,172.02,4.761904762,8.601,7.9
224,239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,272.1,13.605,507.906,1/31/2019,13:44,Ewallet,272.1,4.761904762,13.605,6.1
225,468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,434.56,21.728,507.675,03/06/2019,13:46,Ewallet,434.56,4.761904762,21.728,5.4
226,389-25-3394,C,NAYPYITAW,Normal,Male,Electronic accessories,11.81,5,59.05,2.9525,507.444,2/17/2019,18:06,Cash,59.05,4.761904762,2.9525,9.4
227,279-62-1445,C,NAYPYITAW,Member,Female,Fashion accessories,12.54,1,12.54,0.627,506.6355,2/21/2019,12:38,Cash,12.54,4.761904762,0.627,8.2
228,213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,86.5,4.325,503.7375,3/20/2019,15:56,Cash,86.5,4.761904762,4.325,6.2
229,746-68-6593,C,NAYPYITAW,Member,Female,Sports and travel,87.16,2,174.32,8.716,503.559,01/11/2019,14:29,Credit card,174.32,4.761904762,8.716,9.7
230,836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,624.33,31.2165,499.7265,1/26/2019,19:14,Ewallet,624.33,4.761904762,31.2165,4
231,583-72-1480,C,NAYPYITAW,Member,Male,Electronic accessories,37.06,4,148.24,7.412,497.07,1/31/2019,16:24,Ewallet,148.24,4.761904762,7.412,9.7
232,466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,544.2,27.21,495.3165,2/26/2019,10:52,Cash,544.2,4.761904762,27.21,5.3
233,721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,507.36,25.368,494.76,03/11/2019,12:55,Ewallet,507.36,4.761904762,25.368,7.4
234,289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,162.74,8.137,494.1825,1/26/2019,19:28,Cash,162.74,4.761904762,8.137,6.5
235,545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,31.77,1.5885,493.794,03/12/2019,13:52,Credit card,31.77,4.761904762,1.5885,8.7
236,418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,756.81,37.8405,491.085,02/11/2019,10:54,Cash,756.81,4.761904762,37.8405,8
237,269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,295.28,14.764,489.048,2/21/2019,18:31,Cash,295.28,4.761904762,14.764,6.7
238,157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,519.4,25.97,488.985,03/09/2019,18:24,Ewallet,519.4,4.761904762,25.97,6.5
239,645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,186.28,9.314,486.444,1/20/2019,18:09,Ewallet,186.28,4.761904762,9.314,4.1
240,211-30-9270,C,NAYPYITAW,Normal,Male,Health and beauty,17.41,5,87.05,4.3525,485.5725,1/28/2019,15:16,Credit card,87.05,4.761904762,4.3525,4.9
241,755-12-3214,C,NAYPYITAW,Member,Female,Fashion accessories,44.22,5,221.1,11.055,485.037,03/05/2019,17:07,Credit card,221.1,4.761904762,11.055,8.6
242,346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,66.1,3.305,484.974,03/02/2019,19:26,Cash,66.1,4.761904762,3.305,4.3
243,478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,89.69,4.4845,484.89,01/11/2019,11:20,Ewallet,89.69,4.761904762,4.4845,4.9
244,540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,224.46,11.223,484.5225,01/11/2019,16:49,Credit card,224.46,4.761904762,11.223,5.6
245,448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,119.54,5.977,480.0285,03/11/2019,12:01,Credit card,119.54,4.761904762,5.977,5.8
246,142-72-4741,C,NAYPYITAW,Member,Male,Fashion accessories,93.2,2,186.4,9.32,479.9025,2/28/2019,18:37,Credit card,186.4,4.761904762,9.32,6
247,217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,250.6,12.53,479.64,01/05/2019,11:25,Cash,250.6,4.761904762,12.53,4.2
248,376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,750.96,37.548,478.233,02/02/2019,18:42,Credit card,750.96,4.761904762,37.548,8.3
249,511-34-4211,A,Yangon,Member,Female,Home and lifestyle,100,1,100,0,477.54,01/01/2019,19:21,Cash,0,4.761904762,0,6
250,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,380.72,19.036,477.1305,01/01/2019,14:47,Cash,380.72,4.761904762,19.036,5.7
251,866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,244.2,12.21,474.348,02/09/2019,19:43,Cash,244.2,4.761904762,12.21,4.8
252,604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,89.7,4.485,472.311,1/23/2019,14:04,Ewallet,89.7,4.761904762,4.485,6.8
253,799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,310.88,15.544,471.03,01/07/2019,16:11,Credit card,310.88,4.761904762,15.544,8.8
254,785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,511.42,25.571,470.988,1/14/2019,19:06,Credit card,511.42,4.761904762,25.571,4.2
255,845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,418.95,20.9475,470.988,02/02/2019,15:34,Ewallet,418.95,4.761904762,20.9475,6.4
256,662-47-5456,C,NAYPYITAW,Member,Male,Fashion accessories,35.19,10,351.9,17.595,470.673,3/17/2019,19:06,Credit card,351.9,4.761904762,17.595,8.4
257,883-17-4236,C,NAYPYITAW,Normal,Female,Sports and travel,14.39,2,28.78,1.439,469.77,03/02/2019,19:44,Credit card,28.78,4.761904762,1.439,7.2
258,290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,95,4.75,469.413,3/16/2019,11:22,Cash,95,4.761904762,4.75,5.2
259,704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,471.2,23.56,465.444,01/06/2019,11:23,Cash,471.2,4.761904762,23.56,8.9
260,110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,130.48,6.524,463.89,1/29/2019,14:12,Cash,130.48,4.761904762,6.524,9
261,366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,66.35,3.3175,463.428,1/31/2019,10:46,Credit card,66.35,4.761904762,3.3175,9.7
262,729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,155.46,7.773,462.672,02/05/2019,10:16,Ewallet,155.46,4.761904762,7.773,8.7
263,151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,129,6.45,462.21,2/13/2019,12:38,Ewallet,129,4.761904762,6.45,6.5
264,380-94-4661,C,NAYPYITAW,Member,Male,Electronic accessories,65.94,4,263.76,13.188,461.5275,02/07/2019,13:05,Credit card,263.76,4.761904762,13.188,6.9
265,850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,675.54,33.777,461.328,3/19/2019,13:25,Ewallet,675.54,4.761904762,33.777,6.2
266,821-07-3596,C,NAYPYITAW,Normal,Female,Fashion accessories,16.45,4,65.8,3.29,461.286,03/07/2019,14:53,Ewallet,65.8,4.761904762,3.29,5.6
267,655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,153.2,7.66,458.6925,3/13/2019,19:22,Cash,153.2,4.761904762,7.66,5.7
268,447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,222.4,11.12,457.443,02/09/2019,11:00,Cash,222.4,4.761904762,11.12,4.2
269,154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,54.45,2.7225,457.38,2/26/2019,19:24,Ewallet,54.45,4.761904762,2.7225,7.9
270,253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,688.8,34.44,456.288,03/12/2019,12:43,Credit card,688.8,4.761904762,34.44,8.7
271,808-65-0703,C,NAYPYITAW,Normal,Male,Home and lifestyle,35.47,4,141.88,7.094,455.1225,3/14/2019,17:22,Credit card,141.88,4.761904762,7.094,6.9
272,571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,746,37.3,453.495,01/08/2019,20:55,Cash,746,4.761904762,37.3,9.5
273,144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,282.96,14.148,452.865,01/05/2019,16:05,Credit card,282.96,4.761904762,14.148,4.4
274,731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,355.4,17.77,451.71,01/04/2019,13:34,Ewallet,355.4,4.761904762,17.77,7
275,783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,337.15,16.8575,451.3635,03/06/2019,18:13,Ewallet,337.15,4.761904762,16.8575,6.3
276,687-15-1097,C,NAYPYITAW,Member,Female,Health and beauty,21.12,2,42.24,2.112,451.0275,01/03/2019,19:17,Cash,42.24,4.761904762,2.112,9.7
277,126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,193.86,9.693,450.1035,01/07/2019,11:44,Credit card,193.86,4.761904762,9.693,8.8
278,633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,24.06,1.203,446.964,1/27/2019,15:51,Cash,24.06,4.761904762,1.203,5.1
279,477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,598.26,29.913,446.439,2/26/2019,16:52,Ewallet,598.26,4.761904762,29.913,7.9
280,566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,335.79,16.7895,442.323,01/07/2019,20:52,Cash,335.79,4.761904762,16.7895,6.2
281,526-86-8552,C,NAYPYITAW,Member,Female,Home and lifestyle,21.82,10,218.2,10.91,441.756,01/07/2019,17:36,Cash,218.2,4.761904762,10.91,7.1
282,376-56-3573,C,NAYPYITAW,Normal,Female,Fashion accessories,95.42,4,381.68,19.084,441.693,02/02/2019,13:23,Ewallet,381.68,4.761904762,19.084,6.4
283,537-72-0426,C,NAYPYITAW,Member,Male,Fashion accessories,70.99,10,709.9,35.495,441.588,3/20/2019,16:28,Cash,709.9,4.761904762,35.495,5.7
284,828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,440.2,22.01,440.937,3/20/2019,19:57,Credit card,440.2,4.761904762,22.01,9.6
285,136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,559.68,27.984,439.8975,2/15/2019,17:01,Credit card,559.68,4.761904762,27.984,6.4
286,523-38-0215,C,NAYPYITAW,Normal,Male,Home and lifestyle,37,1,37,1.85,439.215,03/06/2019,13:29,Credit card,37,4.761904762,1.85,7.9
287,490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,15.34,0.767,437.325,01/06/2019,11:09,Cash,15.34,4.761904762,0.767,6.5
288,667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,598.98,29.949,435.456,03/04/2019,15:02,Ewallet,598.98,4.761904762,29.949,8.5
289,565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,190.68,9.534,435.12,03/12/2019,14:21,Cash,190.68,4.761904762,9.534,9.1
290,498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,333.4,16.67,433.692,2/20/2019,18:01,Cash,333.4,4.761904762,16.67,7.6
291,593-95-4461,C,NAYPYITAW,Member,Male,Home and lifestyle,74.86,1,74.86,3.743,432.9885,3/24/2019,14:49,Cash,74.86,4.761904762,3.743,6.9
292,226-71-3580,C,NAYPYITAW,Normal,Female,Sports and travel,23.75,9,213.75,10.6875,432.768,1/31/2019,12:02,Cash,213.75,4.761904762,10.6875,9.5
293,283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7,339.57,16.9785,431.445,1/25/2019,13:30,Credit card,339.57,4.761904762,16.9785,5.2
294,430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,664.16,33.208,431.256,02/03/2019,14:38,Cash,664.16,4.761904762,33.208,4.2
295,139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10,403,20.15,430.71,1/24/2019,17:37,Credit card,403,4.761904762,20.15,7
296,558-80-4082,C,NAYPYITAW,Normal,Male,Electronic accessories,27.85,7,194.95,9.7475,429.1665,3/14/2019,17:20,Ewallet,194.95,4.761904762,9.7475,6
297,278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,62.48,3.124,427.812,2/18/2019,20:29,Cash,62.48,4.761904762,3.124,4.7
298,316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,72.72,3.636,423.738,1/21/2019,10:00,Cash,72.72,4.761904762,3.636,7.1
299,585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10,181.1,9.055,423.15,3/13/2019,11:46,Ewallet,181.1,4.761904762,9.055,5.9
300,211-05-0490,C,NAYPYITAW,Member,Female,Electronic accessories,51.92,5,259.6,12.98,422.73,03/03/2019,13:42,Cash,259.6,4.761904762,12.98,7.5
301,727-75-6477,C,NAYPYITAW,Normal,Male,Electronic accessories,28.84,4,115.36,5.768,420.2625,3/29/2019,14:44,Cash,115.36,4.761904762,5.768,6.4
302,744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,470.28,23.514,419.832,01/10/2019,14:16,Ewallet,470.28,4.761904762,23.514,5.8
303,307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,240.04,12.002,418.95,1/25/2019,15:54,Cash,240.04,4.761904762,12.002,4.5
304,779-06-0012,C,NAYPYITAW,Member,Female,Home and lifestyle,88.61,1,88.61,4.4305,417.564,1/19/2019,10:21,Cash,88.61,4.761904762,4.4305,7.7
305,446-47-6729,C,NAYPYITAW,Normal,Male,Fashion accessories,99.82,2,199.64,9.982,416.178,01/02/2019,18:09,Credit card,199.64,4.761904762,9.982,6.7
306,573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,39.01,1.9505,415.233,03/12/2019,16:46,Credit card,39.01,4.761904762,1.9505,4.7
307,735-06-4124,C,NAYPYITAW,Normal,Male,Food and beverages,48.61,1,48.61,2.4305,411.3795,2/25/2019,15:31,Cash,48.61,4.761904762,2.4305,4.4
308,439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,204.76,10.238,410.508,3/18/2019,17:15,Credit card,204.76,4.761904762,10.238,4.7
309,396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,119.68,5.984,408.7335,2/23/2019,12:29,Cash,119.68,4.761904762,5.984,8.6
310,411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7,505.4,25.27,408.492,3/26/2019,20:14,Ewallet,505.4,4.761904762,25.27,4.3
311,286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,281.61,14.0805,408.408,3/30/2019,13:22,Cash,281.61,4.761904762,14.0805,9.6
312,803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,710.32,35.516,407.316,2/17/2019,17:09,Cash,710.32,4.761904762,35.516,4.1
313,512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,79.44,3.972,406.875,3/21/2019,10:40,Ewallet,79.44,4.761904762,3.972,4.7
314,848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,163.82,8.191,404.649,03/05/2019,17:43,Cash,163.82,4.761904762,8.191,7.8
315,532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,479.58,23.979,404.544,1/31/2019,14:04,Cash,479.58,4.761904762,23.979,5.5
316,181-94-6432,C,NAYPYITAW,Member,Male,Fashion accessories,69.33,2,138.66,6.933,404.355,02/05/2019,19:05,Ewallet,138.66,4.761904762,6.933,9.7
317,870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,71.15,3.5575,403.872,02/01/2019,10:08,Credit card,71.15,4.761904762,3.5575,4.4
318,423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,139.95,6.9975,402.2655,03/07/2019,13:12,Cash,139.95,4.761904762,6.9975,5
319,227-07-4446,C,NAYPYITAW,Member,Female,Electronic accessories,78.13,10,781.3,39.065,401.73,02/10/2019,20:51,Cash,781.3,4.761904762,39.065,4.4
320,174-36-3675,C,NAYPYITAW,Member,Male,Food and beverages,99.37,2,198.74,9.937,401.688,2/14/2019,17:29,Cash,198.74,4.761904762,9.937,5.2
321,428-83-5800,C,NAYPYITAW,Member,Female,Food and beverages,21.08,3,63.24,3.162,401.268,02/09/2019,10:25,Cash,63.24,4.761904762,3.162,7.3
322,603-07-0961,C,NAYPYITAW,Member,Male,Electronic accessories,74.79,5,373.95,18.6975,400.764,01/10/2019,11:34,Cash,373.95,4.761904762,18.6975,4.9
323,704-20-4138,C,NAYPYITAW,Member,Female,Health and beauty,29.67,7,207.69,10.3845,399.756,03/11/2019,18:58,Credit card,207.69,4.761904762,10.3845,8.1
324,787-15-1757,C,NAYPYITAW,Member,Male,Health and beauty,44.07,4,176.28,8.814,398.958,2/18/2019,16:28,Ewallet,176.28,4.761904762,8.814,8.4
325,649-11-3678,C,NAYPYITAW,Normal,Female,Food and beverages,22.93,9,206.37,10.3185,398.475,2/26/2019,20:26,Cash,206.37,4.761904762,10.3185,5.5
326,622-20-1945,C,NAYPYITAW,Normal,Female,Health and beauty,39.42,1,39.42,1.971,397.992,1/18/2019,15:08,Cash,39.42,4.761904762,1.971,8.4
327,372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6,91.56,4.578,397.845,2/15/2019,18:03,Ewallet,91.56,4.761904762,4.578,9.8
328,563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,308.85,15.4425,397.614,03/08/2019,13:21,Cash,308.85,4.761904762,15.4425,6.7
329,746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,129.12,6.456,397.215,1/17/2019,12:48,Credit card,129.12,4.761904762,6.456,9.4
330,276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,390.96,19.548,395.892,03/12/2019,19:53,Ewallet,390.96,4.761904762,19.548,6.4
331,815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,498.9,24.945,394.632,03/09/2019,19:09,Cash,498.9,4.761904762,24.945,5.4
332,719-76-3868,C,NAYPYITAW,Member,Male,Food and beverages,94.26,4,377.04,18.852,394.3275,03/12/2019,16:30,Cash,377.04,4.761904762,18.852,8.6
